algorithm,interval_start,interval_end,interval_center,mean_score,std_error,ci_lower,ci_upper,n_points,min_score,max_score
BasicSearchAlgorithm,0,100,50.0,0.3613389121338912,0.007056393250257615,0.3309777024538608,0.39170012181392155,3,0.348,0.372
BasicSearchAlgorithm,200,300,250.0,0.376,0.0,0.376,0.376,1,0.376,0.376
BasicSearchAlgorithm,300,400,350.0,0.402,0.0020000000000000018,0.3765875905271358,0.42741240947286424,2,0.4,0.404
BasicSearchAlgorithm,400,500,450.0,0.332,0.0,0.332,0.332,1,0.332,0.332
BasicSearchAlgorithm,500,600,550.0,0.42168674698795183,0.0,0.42168674698795183,0.42168674698795183,1,0.42168674698795183,0.42168674698795183
BasicSearchAlgorithm,600,700,650.0,0.4146666666666667,0.029424101987618557,0.288064973930782,0.5412683594025514,3,0.356,0.448
BasicSearchAlgorithm,700,800,750.0,0.44,0.0040000000000000036,0.38917518105427157,0.49082481894572844,2,0.436,0.444
BasicSearchAlgorithm,800,900,850.0,0.452,0.0,0.452,0.452,1,0.452,0.452
BasicSearchAlgorithm,900,1000,950.0,0.446,0.006000000000000005,0.36976277158140736,0.5222372284185927,2,0.44,0.452
BasicSearchAlgorithm,1000,1100,1050.0,0.448,0.0,0.448,0.448,1,0.448,0.448
BasicSearchAlgorithm,1200,1300,1250.0,0.4633038821954485,0.007660289058405192,0.4303443185680399,0.4962634458228571,3,0.452,0.4779116465863454
BasicSearchAlgorithm,1300,1400,1350.0,0.41462348178137653,0.02262348178137652,0.127164890416265,0.7020820731464881,2,0.392,0.43724696356275305
BasicSearchAlgorithm,1500,1600,1550.0,0.436,0.018475208614068026,0.35650759322497455,0.5154924067750255,3,0.404,0.468
BasicSearchAlgorithm,1700,1800,1750.0,0.432,0.0,0.432,0.432,1,0.432,0.432
BasicSearchAlgorithm,1800,1900,1850.0,0.4469156626506024,0.010915662650602398,0.3082190181782233,0.5856123071229815,2,0.436,0.4578313253012048
BasicSearchAlgorithm,1900,2000,1950.0,0.468,0.0,0.468,0.468,1,0.468,0.468
BasicSearchAlgorithm,2100,2200,2150.0,0.4617049180327869,0.013704918032786865,0.2875674236121768,0.635842412453397,2,0.448,0.47540983606557374
BasicSearchAlgorithm,2400,2500,2450.0,0.4576065573770492,0.009606557377049183,0.33554367253198014,0.5796694422221182,2,0.448,0.4672131147540984
BasicSearchAlgorithm,2800,2900,2850.0,0.4537741935483871,0.010225806451612916,0.3238430031790652,0.583705383917709,2,0.4435483870967742,0.464
MinibatchwithValidation,0,100,50.0,0.3946666666666667,0.005811865258054236,0.36966022874947346,0.41967310458386,3,0.384,0.404
MinibatchwithValidation,400,500,450.0,0.43965527968825374,0.006543753182591122,0.4114997821947202,0.46781077718178726,3,0.42971887550200805,0.452
MinibatchwithValidation,600,700,650.0,0.4317849462365591,0.010196088790109362,0.3879147169715708,0.4756551755015474,3,0.41935483870967744,0.452
MinibatchwithValidation,700,800,750.0,0.4168130081300813,0.009982627516755166,0.3738612285955749,0.4597647876645877,3,0.4024390243902439,0.436
MinibatchwithValidation,900,1000,950.0,0.4323670715249663,0.004304823183133573,0.4138449123051974,0.4508892307447352,3,0.4251012145748988,0.44
MinibatchwithValidation,1000,1100,1050.0,0.42956451612903224,0.03843548387096776,-0.05880461107931778,0.9179336433373823,2,0.3911290322580645,0.468
MinibatchwithValidation,1100,1200,1150.0,0.436,0.0,0.436,0.436,1,0.436,0.436
MinibatchwithValidation,1200,1300,1250.0,0.42692037786774634,0.018313792716189513,0.34812248764634424,0.5057182680891484,3,0.3967611336032389,0.46
MinibatchwithValidation,1400,1500,1450.0,0.4299945799457994,0.02859435059142893,0.30696301931969927,0.5530261405718996,3,0.37398373983739835,0.468
MinibatchwithValidation,1500,1600,1550.0,0.4437634408602151,0.016399975183916206,0.37320004286818903,0.5143268388522411,3,0.4112903225806452,0.464
