algorithm,interval_start,interval_end,interval_center,mean_score,std_error,ci_lower,ci_upper,n_points,min_score,max_score
BasicSearchAlgorithm,0,100,50.0,0.3613389121338912,0.007056393250257615,0.3309777024538608,0.39170012181392155,3,0.348,0.372
BasicSearchAlgorithm,200,300,250.0,0.376,0.0,0.376,0.376,1,0.376,0.376
BasicSearchAlgorithm,300,400,350.0,0.402,0.0020000000000000018,0.3765875905271358,0.42741240947286424,2,0.4,0.404
BasicSearchAlgorithm,400,500,450.0,0.376,0.0,0.376,0.376,1,0.376,0.376
BasicSearchAlgorithm,500,600,550.0,0.42168674698795183,0.0,0.42168674698795183,0.42168674698795183,1,0.42168674698795183,0.42168674698795183
BasicSearchAlgorithm,600,700,650.0,0.42933333333333334,0.014847371634213388,0.365450249242572,0.49321641742409467,3,0.4,0.448
BasicSearchAlgorithm,700,800,750.0,0.448,0.0,0.448,0.448,1,0.448,0.448
BasicSearchAlgorithm,800,900,850.0,0.452,0.0,0.452,0.452,1,0.452,0.452
BasicSearchAlgorithm,900,1000,950.0,0.446,0.006000000000000005,0.36976277158140736,0.5222372284185927,2,0.44,0.452
BasicSearchAlgorithm,1000,1100,1050.0,0.452,0.0,0.452,0.452,1,0.452,0.452
BasicSearchAlgorithm,1200,1300,1250.0,0.4633038821954485,0.007660289058405192,0.4303443185680399,0.4962634458228571,3,0.452,0.4779116465863454
BasicSearchAlgorithm,1300,1400,1350.0,0.46,0.0,0.46,0.46,1,0.46,0.46
BasicSearchAlgorithm,1500,1600,1550.0,0.46863721552878185,0.0051804537633018495,0.4463475220030465,0.4909269090545172,3,0.46,0.4779116465863454
BasicSearchAlgorithm,1700,1800,1750.0,0.46,0.0,0.46,0.46,1,0.46,0.46
BasicSearchAlgorithm,1800,1900,1850.0,0.4729558232931727,0.004955823293172679,0.4099861178925415,0.5359255286938039,2,0.468,0.4779116465863454
BasicSearchAlgorithm,1900,2000,1950.0,0.468,0.0,0.468,0.468,1,0.468,0.468
BasicSearchAlgorithm,2100,2200,2150.0,0.4729558232931727,0.004955823293172679,0.4099861178925415,0.5359255286938039,2,0.468,0.4779116465863454
BasicSearchAlgorithm,2400,2500,2450.0,0.4729558232931727,0.004955823293172679,0.4099861178925415,0.5359255286938039,2,0.468,0.4779116465863454
BasicSearchAlgorithm,2800,2900,2850.0,0.4729558232931727,0.004955823293172679,0.4099861178925415,0.5359255286938039,2,0.468,0.4779116465863454
MinibatchwithValidation,0,100,50.0,0.3946666666666667,0.005811865258054236,0.36966022874947346,0.41967310458386,3,0.384,0.404
MinibatchwithValidation,400,500,450.0,0.43965527968825374,0.006543753182591122,0.4114997821947202,0.46781077718178726,3,0.42971887550200805,0.452
MinibatchwithValidation,600,700,650.0,0.44708232118758434,0.004917678812415653,0.42592325702157524,0.46824138535359344,3,0.43724696356275305,0.452
MinibatchwithValidation,700,800,750.0,0.44708232118758434,0.004917678812415653,0.42592325702157524,0.46824138535359344,3,0.43724696356275305,0.452
MinibatchwithValidation,900,1000,950.0,0.44708232118758434,0.004917678812415653,0.42592325702157524,0.46824138535359344,3,0.43724696356275305,0.452
MinibatchwithValidation,1000,1100,1050.0,0.45262348178137657,0.015376518218623484,0.2572462931620685,0.6480006704006847,2,0.43724696356275305,0.468
MinibatchwithValidation,1100,1200,1150.0,0.452,0.0,0.452,0.452,1,0.452,0.452
MinibatchwithValidation,1200,1300,1250.0,0.4524156545209177,0.008880069238435578,0.4142078003722721,0.4906235086695633,3,0.43724696356275305,0.468
MinibatchwithValidation,1400,1500,1450.0,0.45774898785425105,0.010251012145748991,0.41364244246319587,0.5018555332453063,3,0.43724696356275305,0.468
MinibatchwithValidation,1500,1600,1550.0,0.45774898785425105,0.010251012145748991,0.41364244246319587,0.5018555332453063,3,0.43724696356275305,0.468
MinibatchwithValidation,1700,1800,1750.0,0.45774898785425105,0.010251012145748991,0.41364244246319587,0.5018555332453063,3,0.43724696356275305,0.468
MinibatchwithValidation,1800,1900,1850.0,0.4604156545209177,0.01181229840090692,0.40959143656227015,0.5112398724795653,3,0.43724696356275305,0.476
MinibatchwithValidation,2000,2100,2050.0,0.46726104417670683,0.010800856702501686,0.42078870860263107,0.5137333797507826,3,0.4457831325301205,0.48
llm-search-new-version,0,100,50.0,0.39383534136546183,0.023835341365461834,0.09097861401315482,0.6966920687177689,2,0.37,0.41767068273092367
llm-search-new-version,500,600,550.0,0.46299999999999997,0.028999999999999998,0.09452006264346924,0.8314799373565307,2,0.434,0.492
llm-search-new-version,1000,1100,1050.0,0.473,0.024999999999999994,0.15534488158919768,0.7906551184108023,2,0.448,0.498
llm-search-new-version,1600,1700,1650.0,0.522,0.006000000000000005,0.44576277158140737,0.5982372284185926,2,0.516,0.528
llm-search-new-version,2100,2200,2150.0,0.522,0.006000000000000005,0.44576277158140737,0.5982372284185926,2,0.516,0.528
llm-search-multigen,0,100,50.0,0.391,0.007000000000000005,0.3020565668449753,0.47994343315502475,2,0.384,0.398
llm-search-multigen,500,600,550.0,0.42700000000000005,0.028999999999999998,0.05852006264346932,0.7954799373565308,2,0.398,0.456
llm-search-multigen,1000,1100,1050.0,0.42900000000000005,0.026999999999999996,0.08593247211633354,0.7720675278836666,2,0.402,0.456
llm-search-multigen,1600,1700,1650.0,0.435,0.02100000000000002,0.16816970053492575,0.7018302994650742,2,0.414,0.456
llm-search-multigen,2100,2200,2150.0,0.44599999999999995,0.032,0.03940144843417287,0.852598551565827,2,0.414,0.478
